time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/07/21/15:08:18.021535,1336,1689966498,21535086,world,0.6742289066314697,-2.4084219932556152,1.0295687913894653,-0.019695058465003967,-0.06288881599903107,0.3144356906414032,-0.9469886422157288
2023/07/21/15:08:18.031523,1337,1689966498,31522519,world,0.6737834811210632,-2.4079360961914062,1.0299550294876099,-0.01708413101732731,-0.0685293972492218,0.3177745044231415,-0.9455322623252869
2023/07/21/15:08:18.041526,1338,1689966498,41525913,world,0.6755563616752625,-2.4071686267852783,1.0292487144470215,-0.02676677703857422,-0.0645793154835701,0.3079124391078949,-0.9488430619239807
2023/07/21/15:08:18.041556,1339,1689966498,41556363,world,0.6758832335472107,-2.4081828594207764,1.0291253328323364,-0.023865031078457832,-0.06269168108701706,0.30607762932777405,-0.9496402740478516
2023/07/21/15:08:18.051595,1340,1689966498,51595030,world,0.6762827038764954,-2.4080970287323,1.0287247896194458,-0.027816232293844223,-0.061115510761737823,0.3053370416164398,-0.9498739242553711
2023/07/21/15:08:18.061593,1341,1689966498,61592974,world,0.6767528057098389,-2.4073872566223145,1.0289483070373535,-0.027406632900238037,-0.06375259906053543,0.306155800819397,-0.9494489431381226
2023/07/21/15:08:18.071592,1342,1689966498,71591968,world,0.6763923764228821,-2.407768964767456,1.0289969444274902,-0.02586779184639454,-0.06391377747058868,0.30681946873664856,-0.9492669701576233
2023/07/21/15:08:18.081593,1343,1689966498,81592611,world,0.6753168702125549,-2.408541440963745,1.028955340385437,-0.01568659394979477,-0.06584140658378601,0.31803417205810547,-0.9456601738929749
2023/07/21/15:08:18.091582,1344,1689966498,91581834,world,0.6753665804862976,-2.408597469329834,1.0288832187652588,-0.01566889137029648,-0.06591778248548508,0.31848302483558655,-0.9455040693283081
2023/07/21/15:08:18.091626,1345,1689966498,91625931,world,0.6754118204116821,-2.4086263179779053,1.0288145542144775,-0.015534556470811367,-0.0653594508767128,0.3184612989425659,-0.945552408695221
2023/07/21/15:08:18.101587,1346,1689966498,101587390,world,0.6756590008735657,-2.4085841178894043,1.0288798809051514,-0.017169324681162834,-0.06437719613313675,0.31821221113204956,-0.9456753134727478
2023/07/21/15:08:18.111589,1347,1689966498,111589110,world,0.6760380268096924,-2.408848524093628,1.0286096334457397,-0.017954792827367783,-0.0655311718583107,0.3172976076602936,-0.9458887577056885
2023/07/21/15:08:18.121588,1348,1689966498,121587712,world,0.6761873364448547,-2.4089245796203613,1.028568983078003,-0.01760207489132881,-0.0662413090467453,0.3174516558647156,-0.9457942843437195
2023/07/21/15:08:18.131589,1349,1689966498,131588950,world,0.67628413438797,-2.4089627265930176,1.0285325050354004,-0.017723042517900467,-0.06615151464939117,0.31724813580513,-0.9458665251731873
2023/07/21/15:08:18.141587,1350,1689966498,141587612,world,0.6765238642692566,-2.4090285301208496,1.028406023979187,-0.01792009547352791,-0.0662345141172409,0.31724876165390015,-0.9458568096160889
2023/07/21/15:08:18.141632,1351,1689966498,141631502,world,0.6765884160995483,-2.4090189933776855,1.0283677577972412,-0.017327481880784035,-0.06621935963630676,0.31809642910957336,-0.9455841779708862
2023/07/21/15:08:18.151595,1352,1689966498,151594736,world,0.6766301989555359,-2.4089815616607666,1.0283808708190918,-0.017433950677514076,-0.06547985970973969,0.31784820556640625,-0.9457171559333801
2023/07/21/15:08:18.161593,1353,1689966498,161592920,world,0.6767230033874512,-2.409381151199341,1.0283348560333252,-0.016244689002633095,-0.06308461725711823,0.3199364244937897,-0.9451968669891357
2023/07/21/15:08:18.171593,1354,1689966498,171592789,world,0.6772247552871704,-2.4082086086273193,1.02815842628479,-0.021175386384129524,-0.06531937420368195,0.3094075322151184,-0.9484471678733826
2023/07/21/15:08:18.181588,1355,1689966498,181588159,world,0.678345263004303,-2.4082553386688232,1.027256727218628,-0.028235863894224167,-0.06383051723241806,0.3037937879562378,-0.950177788734436
2023/07/21/15:08:18.191600,1356,1689966498,191599988,world,0.6772790551185608,-2.407644271850586,1.028096079826355,-0.021197203546762466,-0.06472998112440109,0.3084511160850525,-0.9487985968589783
2023/07/21/15:08:18.191645,1357,1689966498,191644801,world,0.6786876320838928,-2.408315896987915,1.0270236730575562,-0.029024163261055946,-0.06416095793247223,0.3046548664569855,-0.9498560428619385
2023/07/21/15:08:18.201574,1358,1689966498,201574388,world,0.6781489253044128,-2.40830659866333,1.027544617652893,-0.022409504279494286,-0.06625053286552429,0.3072640299797058,-0.9490508437156677
2023/07/21/15:08:18.211545,1359,1689966498,211544487,world,0.6785818338394165,-2.4083502292633057,1.0272316932678223,-0.024378040805459023,-0.06484227627515793,0.3065922260284424,-0.9493169188499451
2023/07/21/15:08:18.221541,1360,1689966498,221540716,world,0.6786460876464844,-2.408405065536499,1.0272234678268433,-0.024765022099018097,-0.06436394155025482,0.3072025179862976,-0.9491420984268188
2023/07/21/15:08:18.231522,1361,1689966498,231522301,world,0.6789580583572388,-2.408630132675171,1.0271440744400024,-0.024938317015767097,-0.06430745124816895,0.30863744020462036,-0.9486756920814514
2023/07/21/15:08:18.241521,1362,1689966498,241521189,world,0.6790252923965454,-2.408628225326538,1.027113676071167,-0.027081547304987907,-0.06324917078018188,0.30726948380470276,-0.9491320252418518
2023/07/21/15:08:18.241541,1363,1689966498,241541250,world,0.67927086353302,-2.4093120098114014,1.026892066001892,-0.027350688353180885,-0.06332051753997803,0.3089195787906647,-0.9485837817192078
