time,imu_x,imu_y,imu_z,imu_w,mocap_x,mocap_y,mocap_z,mocap_w
2023-07-21 15:10:59.227093,0.0457763671875,-0.11456298828125,0.8258056640625,0.55035400390625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.235706,0.04351806640625,-0.10736083984375,0.8338623046875,0.5396728515625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.245484,0.04071044921875,-0.101318359375,0.841064453125,0.52978515625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.255408,0.03680419921875,-0.09539794921875,0.8482666015625,0.5196533203125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.265612,0.031982421875,-0.08978271484375,0.8548583984375,0.510009765625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.274823,0.0263671875,-0.08447265625,0.8609619140625,0.5008544921875,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.285028,0.02032470703125,-0.07958984375,0.8663330078125,0.49261474609375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.294897,0.013916015625,-0.07489013671875,0.87109375,0.48516845703125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.304730,0.0078125,-0.0704345703125,0.875,0.4788818359375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.314538,0.002197265625,-0.06646728515625,0.8782958984375,0.4735107421875,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.328039,-0.0025634765625,-0.06298828125,0.88104248046875,0.4688720703125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.335683,-0.007080078125,-0.05987548828125,0.8837890625,0.4639892578125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.344661,-0.01043701171875,-0.0577392578125,0.88623046875,0.45947265625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.355146,-0.013671875,-0.056396484375,0.888916015625,0.454345703125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.364837,-0.0162353515625,-0.05596923828125,0.8917236328125,0.4488525390625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.375100,-0.01837158203125,-0.05682373046875,0.8946533203125,0.44281005859375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.385437,-0.01995849609375,-0.0592041015625,0.89764404296875,0.436279296875,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.395210,-0.02117919921875,-0.06329345703125,0.9007568359375,0.42919921875,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.404851,-0.02227783203125,-0.06890869140625,0.90386962890625,0.42169189453125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.415114,-0.0233154296875,-0.07562255859375,0.9068603515625,0.4139404296875,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.424676,-0.02447509765625,-0.0831298828125,0.90972900390625,0.4061279296875,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.434907,-0.0260009765625,-0.0914306640625,0.91253662109375,0.3978271484375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.447269,-0.028076171875,-0.10009765625,0.91522216796875,0.38934326171875,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.454417,-0.0306396484375,-0.1090087890625,0.91766357421875,0.38092041015625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.465332,-0.033935546875,-0.11883544921875,0.91998291015625,0.37200927734375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.475203,-0.03729248046875,-0.12847900390625,0.92181396484375,0.36383056640625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.485301,-0.040771484375,-0.13836669921875,0.92340087890625,0.355712890625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.494986,-0.04437255859375,-0.14813232421875,0.92474365234375,0.3477783203125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.505173,-0.04815673828125,-0.15802001953125,0.92584228515625,0.33984375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.516212,-0.0521240234375,-0.16754150390625,0.92681884765625,0.33209228515625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.524824,-0.05584716796875,-0.17572021484375,0.927490234375,0.32513427734375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.535190,-0.06005859375,-0.18414306640625,0.92822265625,0.317626953125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.546778,-0.06451416015625,-0.192138671875,0.9288330078125,0.31005859375,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.554717,-0.0689697265625,-0.1995849609375,0.929443359375,0.30255126953125,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.564856,-0.07366943359375,-0.20721435546875,0.92999267578125,0.29449462890625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
2023-07-21 15:10:59.574321,-0.07818603515625,-0.21441650390625,0.930419921875,0.2867431640625,-0.4707486033439636,-0.8361623883247375,-0.1672666221857071,0.2263850271701812
